"phenomenon_time";"id_aq_legal_station";"c6h6";"co";"no";"no2";"o3";"nox"
"2018-03-02 14:00:00";26;NULL;"0.3";NULL;"64.08";"60.93";NULL
"2018-03-02 15:00:00";26;NULL;"0.26";NULL;"58.74";"65.88";NULL
"2018-03-02 16:00:00";26;NULL;"0.24";NULL;"52.15";"67.13";NULL
"2018-03-02 17:00:00";26;NULL;"0.27";NULL;"51.8";"63.3";NULL
"2018-03-02 18:00:00";26;NULL;"0.3";NULL;"54.17";"53.32";NULL
"2018-03-02 19:00:00";26;NULL;"0.34";NULL;"57.12";"39.7";NULL
"2018-03-02 20:00:00";26;NULL;"0.33";NULL;"56.72";"29.98";NULL
"2018-03-02 21:00:00";26;NULL;"0.32";NULL;"54.34";"31.03";NULL
"2018-03-02 22:00:00";26;NULL;"0.27";NULL;"48.7";"44.27";NULL
"2018-03-02 23:00:00";26;NULL;"0.23";NULL;"42.27";"46.76";NULL
"2018-03-03 00:00:00";26;NULL;"0.21";NULL;"32.33";"52.4";NULL
"2018-03-03 01:00:00";26;NULL;"0.2";NULL;"29.83";"49.52";NULL
"2018-03-03 02:00:00";26;NULL;"0.22";NULL;"29.62";"39.83";NULL
"2018-03-03 03:00:00";26;NULL;"0.23";NULL;"32.69";"29.47";NULL
"2018-03-03 04:00:00";26;NULL;"0.22";NULL;"35.05";"28.7";NULL
"2018-03-03 05:00:00";26;NULL;"0.2";NULL;"30.76";"34.67";NULL
"2018-03-03 06:00:00";26;NULL;"0.23";NULL;"36.33";"35.52";NULL
"2018-03-03 07:00:00";26;NULL;"0.23";NULL;"36.65";"18.18";NULL
"2018-03-03 08:00:00";26;NULL;"0.38";NULL;"47.66";"8.97";NULL
"2018-03-03 09:00:00";26;NULL;"0.28";NULL;"52.62";"43.4";NULL
"2018-03-03 10:00:00";26;NULL;"0.17";NULL;"45.69";"81.83";NULL
"2018-03-03 11:00:00";26;NULL;"0.17";NULL;"31.29";"87.58";NULL
"2018-03-03 12:00:00";26;NULL;"0.18";NULL;"28.35";"84.78";NULL
"2018-03-03 13:00:00";26;NULL;"0.16";NULL;"26.13";"92.59";NULL
"2018-03-03 14:00:00";26;NULL;"0.21";NULL;"31.75";"85.73";NULL
"2018-03-03 15:00:00";26;NULL;"0.16";NULL;"32.27";"95.64";NULL
"2018-03-03 16:00:00";26;NULL;"0.15";NULL;"29.01";"100.81";NULL
"2018-03-03 17:00:00";26;NULL;"0.2";NULL;"28.88";"82.76";NULL
"2018-03-03 18:00:00";26;NULL;"0.23";NULL;"47.54";"65.72";NULL
"2018-03-03 19:00:00";26;NULL;"0.23";NULL;"47.77";"58.45";NULL
"2018-03-03 20:00:00";26;NULL;"0.26";NULL;"51.86";"54.66";NULL
"2018-03-03 21:00:00";26;NULL;"0.25";NULL;"48.85";"55.94";NULL
"2018-03-03 22:00:00";26;NULL;"0.26";NULL;"49.55";"47.41";NULL
"2018-03-03 23:00:00";26;NULL;"0.24";NULL;"43.79";"51.34";NULL
"2018-03-04 00:00:00";26;NULL;"0.21";NULL;"37.86";"50.64";NULL
"2018-03-04 01:00:00";26;NULL;"0.19";NULL;"36.25";"56.67";NULL
"2018-03-04 02:00:00";26;NULL;"0.18";NULL;"28.34";"58.82";NULL
"2018-03-04 03:00:00";26;NULL;"0.17";NULL;"23.44";"60.84";NULL
"2018-03-04 04:00:00";26;NULL;"0.16";NULL;"20.98";"58.48";NULL
